Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,Age,IFFB,Balls,Strikes,Pitches,K/9,BB/9,K/BB,AVG,BABIP,FIP,GB/FB,LD%,GB%,FB%,HR/FB,WAR,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,F-Strike%,SwStr%,K%,BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
Patrick Corbin,Diamondbacks,14,13,4.03,33,32,189.2,826,208,97,85,26,61,8,3,178,27,17,1111,1973,3084,8.45,2.89,2.92,0.273,0.326,4.08,1.71,20.00%,50.40%,29.60%,15.30%,3,0.81,31.80%,66.00%,46.50%,57.20%,88.40%,76.20%,62.50%,11.10%,21.60%,7.40%,37.20%,38.60%,24.20%,18.50%,49.90%,31.60%,9323
Blake Snell,Rays,5,7,4.04,24,24,129.1,547,113,65,58,15,59,1,0,119,24,18,919,1359,2278,8.28,4.11,2.02,0.232,0.277,4.19,1.16,18.30%,43.90%,37.80%,11.00%,1.9,0.12,30.40%,64.70%,42.90%,61.60%,85.40%,74.70%,53.80%,10.80%,21.80%,10.80%,36.10%,31.50%,32.30%,18.80%,48.40%,32.90%,13543
Trevor Williams,Pirates,7,9,4.07,31,25,150.1,642,145,73,68,14,52,4,9,117,25,16,877,1546,2423,7,3.11,2.25,0.25,0.291,4.03,1.53,20.70%,48.00%,31.30%,9.90%,2.2,0.53,28.60%,68.60%,46.70%,66.50%,89.90%,82.10%,60.90%,8.40%,18.20%,8.10%,38.90%,33.90%,27.20%,21.80%,49.20%,28.90%,16977
Chris Archer,Rays,10,12,4.07,34,34,201,852,193,101,91,27,60,0,5,249,28,18,1212,2194,3406,11.15,2.69,4.15,0.245,0.325,3.4,1.17,22.00%,42.00%,36.00%,14.10%,4.6,-0.52,31.20%,68.00%,47.70%,54.80%,81.60%,71.90%,62.30%,13.40%,29.20%,7.00%,36.10%,34.20%,29.70%,13.20%,47.40%,39.40%,6345
Kyle Freeland,Rockies,11,11,4.1,33,28,156,688,169,78,71,17,63,4,8,107,24,15,994,1579,2573,6.17,3.63,1.7,0.274,0.308,4.57,1.95,18.50%,53.90%,27.60%,12.50%,2,0.58,26.00%,69.50%,45.00%,70.80%,89.20%,83.20%,54.80%,7.50%,15.60%,9.20%,39.40%,34.30%,26.30%,24.30%,43.70%,32.00%,16256
Michael Wacha,Cardinals,12,9,4.13,30,30,165.2,701,170,82,76,17,55,3,3,158,25,12,936,1754,2690,8.58,2.99,2.87,0.264,0.327,3.63,1.55,21.10%,48.00%,30.90%,11.60%,3.2,-0.74,29.50%,66.60%,47.60%,67.70%,85.40%,79.80%,65.80%,9.60%,22.50%,7.90%,42.30%,29.90%,27.80%,20.20%,51.80%,28.00%,14078
Ivan Nova,Pirates,11,14,4.14,31,31,187,785,203,96,86,29,36,2,7,131,30,16,897,1780,2677,6.3,1.73,3.64,0.274,0.299,4.46,1.48,23.40%,45.70%,31.00%,15.80%,1.9,-0.18,33.20%,68.30%,50.00%,68.10%,91.30%,83.30%,64.50%,8.40%,16.70%,4.60%,41.60%,37.90%,20.50%,16.60%,48.70%,34.80%,1994
Jake Odorizzi,Rays,10,8,4.14,28,28,143.1,604,117,80,66,30,61,1,2,127,27,18,1021,1606,2627,7.97,3.83,2.08,0.216,0.227,5.43,0.65,22.10%,30.60%,47.30%,15.50%,0.1,-0.15,30.40%,74.10%,47.90%,68.40%,81.50%,76.60%,54.00%,11.20%,21.00%,10.10%,34.90%,32.00%,33.20%,15.30%,47.90%,36.80%,6397
Jose Quintana,- - -,11,11,4.15,32,32,188.2,790,170,92,87,23,61,4,10,207,28,17,1202,1974,3176,9.87,2.91,3.39,0.236,0.301,3.68,1.3,20.80%,44.80%,34.50%,13.20%,3.9,-0.52,28.40%,62.50%,43.70%,66.70%,88.40%,80.60%,67.10%,8.50%,26.20%,7.70%,43.80%,32.20%,24.00%,18.20%,49.20%,32.60%,11423
JC Ramirez,Angels,11,10,4.15,27,24,147.1,620,149,72,68,21,49,1,6,105,28,10,839,1464,2303,6.41,2.99,2.14,0.264,0.292,4.71,1.7,18.20%,51.40%,30.30%,15.20%,1.1,0.01,25.70%,66.30%,45.60%,63.60%,87.70%,80.70%,60.30%,8.80%,16.90%,7.90%,38.70%,36.50%,24.80%,16.50%,47.40%,36.10%,8302
Jason Vargas,Royals,18,11,4.16,32,32,179.2,756,181,84,83,27,58,2,5,134,34,23,1086,1839,2925,6.71,2.91,2.31,0.261,0.289,4.67,1,19.30%,40.30%,40.40%,12.10%,1.6,1.18,28.10%,61.20%,43.20%,66.70%,82.70%,77.00%,65.90%,9.90%,17.70%,7.70%,48.80%,32.20%,19.00%,17.90%,49.40%,32.70%,8044
Trevor Bauer,Indians,17,9,4.19,32,31,176.1,749,181,84,82,25,60,0,5,196,26,16,1219,1929,3148,10,3.06,3.27,0.265,0.337,3.88,1.45,21.50%,46.40%,32.10%,16.10%,3.2,1.45,25.10%,63.10%,42.00%,58.20%,88.20%,78.20%,56.90%,9.20%,26.20%,8.00%,41.40%,33.20%,25.40%,15.00%,50.60%,34.40%,12703
Kendall Graveman,Athletics,6,4,4.19,19,19,105.1,444,114,50,49,12,32,1,4,70,26,5,639,1036,1675,5.98,2.73,2.19,0.279,0.313,4.33,1.72,19.00%,51.20%,29.80%,12.00%,1.2,0.78,26.90%,63.60%,42.40%,71.70%,91.10%,83.90%,56.30%,6.80%,15.80%,7.20%,41.10%,37.60%,21.30%,16.60%,52.70%,30.80%,15514
