Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,Age,IFFB,Balls,Strikes,Pitches,K/9,BB/9,K/BB,AVG,BABIP,FIP,GB/FB,LD%,GB%,FB%,HR/FB,WAR,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,F-Strike%,SwStr%,K%,BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
Martin Perez,Rangers,13,12,4.82,32,32,185,811,221,108,99,23,63,3,6,115,26,13,1191,1906,3097,5.59,3.06,1.83,0.298,0.328,4.65,1.69,24.80%,47.30%,27.90%,13.30%,1.9,-0.24,32.10%,64.10%,44.80%,74.60%,90.60%,83.70%,59.30%,7.30%,14.20%,7.80%,39.40%,34.90%,25.70%,15.20%,51.50%,33.30%,6902
Ricky Nolasco,Angels,6,15,4.92,33,33,181,787,205,102,99,35,58,3,3,143,34,18,1195,1896,3091,7.11,2.88,2.47,0.282,0.31,5.1,1.03,20.80%,40.10%,39.10%,15.60%,0.7,-1.71,29.50%,70.70%,45.60%,62.20%,84.90%,76.00%,60.20%,11.00%,18.20%,7.40%,47.60%,30.80%,21.70%,15.10%,47.30%,37.60%,3830
Matt Garza,Brewers,6,9,4.94,24,22,114.2,504,121,72,63,17,45,4,1,79,33,16,706,1204,1910,6.2,3.53,1.76,0.264,0.287,4.91,1.06,22.20%,40.00%,37.80%,12.30%,1,-0.71,32.00%,69.50%,47.30%,71.00%,91.00%,83.00%,59.30%,8.10%,15.70%,8.90%,38.50%,32.20%,29.30%,16.60%,50.10%,33.30%,3340
Josh Tomlin,Indians,10,9,4.98,26,26,141,585,166,80,78,23,14,0,4,109,32,12,671,1417,2088,6.96,0.89,7.79,0.293,0.329,4.12,1.07,23.20%,39.60%,37.20%,13.70%,2.2,-0.45,32.40%,67.10%,48.50%,70.00%,89.70%,82.60%,68.60%,8.40%,18.60%,2.40%,43.90%,38.00%,18.10%,14.00%,49.80%,36.20%,9388
Marco Estrada,Blue Jays,10,9,4.98,33,33,186,806,186,104,103,31,71,0,2,176,33,46,1144,2102,3246,8.52,3.44,2.48,0.254,0.295,4.61,0.6,19.40%,30.30%,50.30%,11.20%,2.6,-0.45,30.60%,71.20%,49.00%,71.40%,81.10%,77.80%,58.70%,10.90%,21.80%,8.80%,42.50%,28.60%,29.00%,21.40%,51.40%,27.20%,1118
Kyle Gibson,Twins,12,10,5.07,29,29,158,693,182,93,89,24,60,0,6,121,29,7,1000,1610,2610,6.89,3.42,2.02,0.29,0.328,4.85,1.95,23.10%,50.80%,26.10%,18.30%,1.1,-1.36,31.20%,67.10%,45.60%,61.80%,89.20%,78.00%,59.50%,10.00%,17.50%,8.70%,45.30%,37.20%,17.60%,15.40%,48.80%,35.80%,10123
Adam Wainwright,Cardinals,12,5,5.11,24,23,123.1,546,140,73,70,14,45,4,5,96,35,11,803,1352,2155,7.01,3.28,2.13,0.282,0.326,4.29,1.69,24.90%,47.20%,27.90%,12.70%,1.5,0.59,28.00%,63.70%,43.70%,70.90%,89.90%,83.10%,59.50%,7.40%,17.60%,8.20%,41.30%,32.00%,26.80%,19.50%,49.80%,30.80%,2233
Ariel Miranda,Mariners,8,7,5.12,31,29,160,678,140,93,91,37,63,1,5,137,28,34,996,1666,2662,7.71,3.54,2.17,0.23,0.236,5.73,0.61,16.20%,31.70%,52.20%,15.30%,0.1,-0.91,25.60%,71.90%,47.50%,62.40%,83.10%,77.20%,60.90%,10.80%,20.20%,9.30%,41.20%,31.30%,27.50%,21.40%,46.90%,31.70%,17526
Robert Gsellman,Mets,8,7,5.19,25,22,119.2,549,138,85,69,17,42,3,8,82,23,10,753,1296,2049,6.17,3.16,1.95,0.277,0.303,4.89,1.69,21.50%,49.30%,29.20%,14.40%,0.7,-1.88,29.70%,69.80%,47.20%,76.00%,88.80%,84.30%,64.70%,7.40%,14.90%,7.70%,38.70%,35.30%,26.00%,20.00%,50.00%,30.10%,13696
Mike Fiers,Astros,8,10,5.22,29,28,153.1,671,157,95,89,32,62,0,13,146,32,12,960,1670,2630,8.57,3.64,2.35,0.263,0.299,5.43,1.15,20.00%,42.90%,37.20%,19.50%,0.1,-1.5,29.90%,64.30%,45.70%,69.70%,86.00%,80.20%,60.10%,9.10%,21.80%,9.20%,46.20%,31.50%,22.30%,20.10%,49.80%,30.10%,7754
James Shields,White Sox,5,7,5.23,21,21,117,516,116,72,68,27,53,3,3,103,35,11,785,1231,2016,7.92,4.08,1.94,0.252,0.27,5.83,0.88,18.30%,38.20%,43.50%,17.40%,-0.2,-1.84,27.80%,67.00%,44.40%,62.50%,85.10%,77.00%,58.00%,10.20%,20.00%,10.30%,43.40%,36.70%,19.90%,19.30%,47.30%,33.30%,7059
Matt Boyd,Tigers,6,11,5.27,26,25,135,605,157,84,79,18,53,3,3,110,26,27,853,1503,2356,7.33,3.53,2.08,0.286,0.33,4.51,0.96,22.30%,38.10%,39.50%,10.60%,1.9,-0.89,30.50%,69.10%,48.30%,70.90%,83.70%,79.40%,59.50%,10.00%,18.20%,8.80%,44.40%,31.00%,24.60%,21.00%,44.40%,34.60%,15440
Jason Hammel,Royals,8,13,5.29,32,32,180.1,804,209,109,106,26,48,2,9,145,34,19,1068,1961,3029,7.24,2.4,3.02,0.28,0.318,4.37,0.92,20.80%,38.00%,41.20%,10.60%,2.1,-1.58,30.50%,66.60%,47.90%,61.60%,89.30%,80.10%,62.60%,9.50%,18.00%,6.00%,41.90%,33.10%,25.10%,16.60%,51.80%,31.60%,4538
Daniel Norris,Tigers,5,8,5.31,22,18,101.2,460,120,64,60,12,44,3,3,86,24,7,729,1098,1827,7.61,3.9,1.95,0.291,0.343,4.39,0.99,22.00%,38.80%,39.10%,9.50%,1.3,-1.23,25.60%,65.10%,43.60%,59.20%,88.20%,78.90%,55.20%,9.20%,18.70%,9.60%,41.70%,35.60%,22.70%,16.30%,42.00%,41.70%,13475
Joe Biagini,Blue Jays,3,13,5.34,44,18,119.2,517,125,78,71,15,42,0,2,97,27,8,691,1245,1936,7.3,3.16,2.31,0.264,0.305,4.27,2.08,17.60%,55.70%,26.80%,15.20%,1.4,0.04,30.00%,65.40%,45.90%,69.00%,89.10%,81.90%,63.60%,8.30%,18.80%,8.10%,45.20%,32.20%,22.60%,18.60%,51.10%,30.30%,13194
Jesse Chavez,Angels,7,11,5.35,38,21,138,586,148,83,82,28,45,2,2,119,33,11,870,1442,2312,7.76,2.93,2.64,0.275,0.306,5.09,1.12,22.40%,41.10%,36.50%,18.30%,0.3,-2.19,26.60%,69.60%,44.40%,71.70%,87.10%,81.60%,62.50%,8.10%,20.30%,7.70%,37.40%,34.10%,28.60%,15.00%,48.30%,36.70%,5448
Ian Kennedy,Royals,5,13,5.38,30,30,154,655,143,99,92,34,61,2,5,131,32,15,984,1657,2641,7.66,3.56,2.15,0.243,0.257,5.61,0.76,16.30%,36.00%,47.70%,15.70%,-0.2,-1.58,25.10%,67.60%,45.30%,71.30%,84.00%,80.30%,58.20%,8.90%,20.00%,9.30%,38.40%,35.80%,25.80%,11.80%,46.50%,41.70%,6986
Matt Cain,Giants,3,11,5.43,27,23,124.1,568,157,85,75,18,49,6,2,75,32,13,780,1303,2083,5.43,3.55,1.53,0.304,0.328,5.06,1.24,23.20%,42.50%,34.30%,12.20%,0.3,-1.73,24.90%,63.40%,43.20%,80.90%,92.00%,88.60%,63.20%,4.90%,13.20%,8.60%,44.40%,36.70%,18.80%,16.80%,51.30%,32.00%,4732
Jeremy Hellickson,- - -,8,11,5.43,30,30,164,695,160,105,99,35,47,2,8,96,30,27,967,1651,2618,5.27,2.58,2.04,0.25,0.246,5.77,0.8,21.30%,34.90%,43.80%,15.10%,0.2,-2.34,30.00%,69.90%,47.90%,74.40%,87.00%,82.60%,59.10%,8.30%,13.80%,6.80%,45.40%,28.70%,25.90%,19.90%,48.20%,32.00%,4371
Tim Adleman,Reds,5,11,5.52,30,20,122.1,531,124,79,75,29,51,1,6,108,29,14,781,1307,2088,7.95,3.75,2.12,0.262,0.282,5.87,0.74,19.00%,34.40%,46.60%,17.40%,-0.4,-2.16,27.30%,69.70%,47.10%,64.10%,82.90%,77.10%,60.50%,10.80%,20.30%,9.60%,41.30%,33.10%,25.70%,16.70%,46.70%,36.60%,10968
Rafael Montero,Mets,5,11,5.52,34,18,119,550,141,75,73,12,67,5,5,114,26,13,840,1379,2219,8.62,5.07,1.7,0.295,0.366,4.37,1.48,19.40%,48.10%,32.50%,10.50%,1.3,-2.54,31.00%,64.00%,44.80%,67.60%,83.80%,77.30%,63.50%,10.20%,20.70%,12.20%,35.70%,37.60%,26.70%,20.90%,52.80%,26.40%,12760
Matt Moore,Giants,6,15,5.52,32,31,174.1,790,200,116,107,27,67,3,7,148,28,22,1009,1866,2875,7.64,3.46,2.21,0.279,0.32,4.75,0.9,20.40%,37.70%,41.90%,11.60%,1,-2.94,27.90%,67.90%,46.80%,67.10%,88.30%,81.70%,61.30%,8.60%,18.70%,8.50%,37.30%,38.90%,23.80%,15.90%,49.50%,34.70%,1890
Jharel Cotton,Athletics,9,10,5.58,24,24,129,566,133,91,80,28,53,1,4,105,25,24,804,1369,2173,7.33,3.7,1.98,0.261,0.279,5.68,0.8,16.70%,37.00%,46.30%,15.30%,0,-2.09,26.70%,69.30%,47.00%,69.10%,83.70%,79.30%,59.40%,9.70%,18.60%,9.40%,35.30%,38.10%,26.60%,21.60%,47.00%,31.30%,13654
Wade Miley,Orioles,8,15,5.61,32,32,157.1,728,179,104,98,25,93,1,4,142,30,13,1296,1758,3054,8.12,5.32,1.53,0.284,0.332,5.27,1.88,22.90%,50.30%,26.80%,19.40%,0.8,-1.31,29.10%,63.20%,41.00%,68.80%,89.90%,80.20%,53.70%,8.10%,19.50%,12.80%,42.90%,34.20%,22.90%,16.60%,50.90%,32.50%,8779
Nick Martinez,Rangers,3,8,5.66,23,18,111.1,478,124,74,70,26,28,0,2,67,26,18,668,1147,1815,5.42,2.26,2.39,0.277,0.276,5.8,1.12,21.20%,41.60%,37.10%,18.60%,0,-1.36,30.90%,62.90%,45.40%,75.90%,91.50%,85.70%,59.80%,6.50%,14.00%,5.90%,38.60%,37.00%,24.40%,20.50%,49.30%,30.20%,12730
Yovani Gallardo,Mariners,5,10,5.72,28,22,130.2,578,138,84,83,24,60,3,2,94,31,25,910,1381,2291,6.47,4.13,1.57,0.267,0.286,5.53,1.21,19.40%,44.10%,36.60%,15.90%,0,-2.06,26.00%,67.20%,44.30%,67.70%,87.70%,81.20%,58.00%,8.30%,16.30%,10.40%,36.50%,36.00%,27.50%,19.40%,47.60%,32.90%,8173
Mike Pelfrey,White Sox,3,12,5.93,34,21,120,546,127,87,79,25,62,4,10,79,33,11,933,1358,2291,5.93,4.65,1.27,0.268,0.276,6.35,1.48,15.70%,50.30%,34.00%,18.70%,-1,-2.08,25.00%,63.70%,40.40%,73.10%,89.80%,83.60%,59.20%,6.60%,14.50%,11.40%,40.30%,37.50%,22.30%,19.80%,49.90%,30.40%,5203
Nick Pivetta,Phillies,8,10,6.02,26,26,133,584,144,91,89,25,57,0,4,140,24,10,900,1539,2439,9.47,3.86,2.46,0.275,0.332,4.87,1.2,19.90%,43.80%,36.30%,18.20%,1.1,-1.32,28.60%,64.30%,45.60%,68.80%,87.00%,81.00%,59.30%,8.70%,24.00%,9.80%,33.70%,40.50%,25.90%,15.90%,48.60%,35.50%,15454
Jordan Zimmermann,Tigers,8,13,6.08,29,29,160,713,204,111,108,29,44,2,7,103,31,28,905,1739,2644,5.79,2.48,2.34,0.308,0.33,5.18,0.79,24.80%,33.20%,42.00%,12.50%,1.1,-1.77,30.50%,68.40%,49.10%,69.10%,90.10%,83.40%,67.50%,8.10%,14.50%,6.20%,37.60%,38.10%,24.30%,13.40%,47.10%,39.50%,4505
Adam Conley,Marlins,8,8,6.14,22,20,102.2,463,114,74,70,19,42,4,8,72,27,20,639,1084,1723,6.31,3.68,1.71,0.276,0.295,5.62,0.95,18.60%,39.60%,41.80%,13.90%,-0.1,-1.75,27.70%,69.90%,47.30%,65.90%,85.70%,79.50%,57.70%,9.70%,15.60%,9.10%,44.30%,32.80%,22.90%,17.90%,43.40%,38.70%,14457
Derek Holland,White Sox,7,14,6.2,29,26,135,626,156,106,93,31,75,2,8,104,30,15,987,1473,2460,6.93,5,1.39,0.287,0.306,6.45,0.93,21.80%,37.70%,40.50%,17.60%,-0.9,-2.18,25.00%,64.20%,41.00%,71.40%,89.00%,82.70%,63.40%,7.10%,16.60%,12.00%,44.10%,32.90%,23.10%,17.60%,44.10%,38.40%,4141
Anibal Sanchez,Tigers,3,7,6.41,28,17,105.1,482,139,81,75,26,29,1,4,104,33,13,690,1165,1855,8.89,2.48,3.59,0.31,0.354,5.33,0.9,24.70%,35.60%,39.70%,19.30%,0.5,-1.05,28.40%,65.10%,45.40%,61.90%,86.80%,78.50%,61.40%,9.80%,21.60%,6.00%,38.60%,35.70%,25.80%,16.80%,45.80%,37.40%,3284
Bartolo Colon,- - -,7,14,6.48,28,28,143,648,192,112,103,28,35,0,1,89,44,17,741,1545,2286,5.6,2.2,2.54,0.314,0.331,5.21,1.08,19.30%,41.80%,38.90%,14.10%,0.6,-2.86,29.80%,65.10%,46.50%,81.10%,92.20%,88.40%,65.10%,5.40%,13.70%,5.40%,35.00%,37.70%,27.30%,17.80%,46.50%,35.80%,375
Ubaldo Jimenez,Orioles,6,11,6.81,31,25,142.2,648,169,109,108,33,58,0,5,139,33,12,1020,1567,2587,8.77,3.66,2.4,0.289,0.329,5.54,1.19,20.90%,43.10%,36.10%,20.80%,0.1,-3.07,26.00%,63.90%,42.40%,65.80%,88.10%,80.40%,53.40%,8.30%,21.50%,9.00%,39.20%,35.00%,25.80%,17.70%,45.30%,37.00%,3374
