Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Kyle Lewis (10781843),Kyle Lewis,10781843,OF,2800,SEA@TB 06/09/2018 04:10PM ET,SEA,0
2B/3B,Alex Blandino (10781908),Alex Blandino,10781908,2B/3B,2800,STL@CIN 06/09/2018 04:10PM ET,CIN,3.04
OF,Rajai Davis (10781953),Rajai Davis,10781953,OF,2800,CLE@DET 06/09/2018 04:10PM ET,CLE,4.21
OF,Chad Huffman (10781964),Chad Huffman,10781964,OF,2800,CLE@DET 06/09/2018 04:10PM ET,DET,0
2B/3B,Pete Kozma (10781971),Pete Kozma,10781971,2B/3B,2800,CLE@DET 06/09/2018 04:10PM ET,DET,3.6
OF,Brandon Guyer (10781973),Brandon Guyer,10781973,OF,2800,CLE@DET 06/09/2018 04:10PM ET,CLE,3.61
2B,Dixon Machado (10781994),Dixon Machado,10781994,2B,2800,CLE@DET 06/09/2018 04:10PM ET,DET,4.63
OF,Mikie Mahtook (10782010),Mikie Mahtook,10782010,OF,2800,CLE@DET 06/09/2018 04:10PM ET,DET,4
3B,Martin Prado (10782057),Martin Prado,10782057,3B,2800,SD@MIA 06/09/2018 04:10PM ET,MIA,3.92
C,Tomas Telis (10782092),Tomas Telis,10782092,C,2800,SD@MIA 06/09/2018 04:10PM ET,MIA,1.30
SS,JT Riddle (10782106),JT Riddle,10782106,SS,2800,SD@MIA 06/09/2018 04:10PM ET,MIA,4.23
C,Chad Wallach (10782107),Chad Wallach,10782107,C,2800,SD@MIA 06/09/2018 04:10PM ET,MIA,2.67
C,Austin Hedges (10782117),Austin Hedges,10782117,C,2800,SD@MIA 06/09/2018 04:10PM ET,SD,4.21
OF,Lewis Brinson (10782129),Lewis Brinson,10782129,OF,2800,SD@MIA 06/09/2018 04:10PM ET,MIA,4.54
SS,Alcides Escobar (10782177),Alcides Escobar,10782177,SS,2800,KC@OAK 06/09/2018 04:05PM ET,KC,5.33
1B/3B,Cheslor Cuthbert (10782223),Cheslor Cuthbert,10782223,1B/3B,2800,KC@OAK 06/09/2018 04:05PM ET,KC,4.9
OF,Nick Martini (10782228),Nick Martini,10782228,OF,2800,KC@OAK 06/09/2018 04:05PM ET,OAK,0
